gene	log2FoldChange
CG2662	-0.162287515
Frl	-0.162271163
CG5262	-0.162187181
Chd1	-0.162119788
MEP-1	-0.162112959
IM14	-0.161765971
Su(dx)	-0.161643075
Zw10	-0.161592825
CG3335	-0.161577128
Trn-SR	-0.161433039
Cyp4ae1	-0.161384217
spict	-0.161344342
gnu	-0.161322211
CG1227	-0.161210712
Actn	-0.161161322
CngB	-0.161160527
NfI	-0.161110621
CG15561	-0.161076995
Fer1HCH	-0.160982486
TpnC25D	-0.160870151
CG31676	-0.160795206
CG3065	-0.160721039
CG9686	-0.160565529
Pdf	-0.160508871
CG8498	-0.160410748
CR46194	-0.160196708
CG3198	-0.160194233
CG12851	-0.160170723
CG9813	-0.16011002
CG42245	-0.160031004
mr	-0.159942058
Hr3	-0.159828039
Sec24CD	-0.159685848
Mnt	-0.159639997
CG1791	-0.159584742
CG2061	-0.159569212
CR44526	-0.159536898
salm	-0.159529499
Rbp	-0.159422933
CG8239	-0.159332131
Fer3	-0.159213713
Dbp73D	-0.159183193
CG34409	-0.159110135
U3-55K	-0.159104579
Orct	-0.159002564
pyd3	-0.158954041
CG9338	-0.158943596
Eip75B	-0.158842496
dan	-0.158749546
Sh	-0.158716091
CG34384	-0.158683551
Mad	-0.15855098
gish	-0.15849651
NKAIN	-0.158332149
CG11357	-0.158133077
Rtf1	-0.158114671
CG31814	-0.157845428
CG11807	-0.157606572
HERC2	-0.157592594
fs(2)ltoPP43	-0.157541172
beat-IIIb	-0.157440736
Wnt4	-0.157405958
CG15111	-0.157326211
jp	-0.157173609
Tspo	-0.15710964
CG12702	-0.15708721
Ire1	-0.156753731
CG10550	-0.156540186
beat-IIIa	-0.156517856
MED24	-0.156517038
Cyp4d2	-0.156464488
Nep3	-0.156461386
Stam	-0.156308418
PH4alphaNE1	-0.156276237
CG14397	-0.156261943
CG8129	-0.156229168
CG13594	-0.156084097
snoRNA:Me18S-G1189	-0.156037609
CG10934	-0.155952345
CG5098	-0.155438533
CG15270	-0.155320896
CG9004	-0.155272444
Ubr1	-0.155192232
Rox8	-0.155165758
CG31028	-0.155092905
Art3	-0.155086724
CG3499	-0.154873211
Atg2	-0.15471141
beat-IIb	-0.154662237
CG2519	-0.154499788
Lis-1	-0.1543755
CG34136	-0.154374093
adp	-0.154227421
CG31897	-0.154045713
CG9376	-0.153935306
CR45241	-0.153924515
EndoB	-0.153900081
Ocrl	-0.153596435
Ranbp11	-0.153402231
CG43351	-0.153390517
Grip163	-0.153329
Adgf-C	-0.153316682
CG9395	-0.153269046
Uhg2	-0.153217695
Hml	-0.153115048
Vps2	-0.152963889
Ibf1	-0.152768796
Br140	-0.15276149
CG12379	-0.152757919
CG9947	-0.152651482
CG9394	-0.152561488
lig3	-0.152458441
CG7120	-0.152224727
ocm	-0.152222372
ATPCL	-0.15204748
Sherpa	-0.152035217
Sra-1	-0.151923853
X11L	-0.151920412
GC1	-0.15179451
Mtr3	-0.151777001
sano	-0.151655729
Hydr2	-0.151631959
tty	-0.151619282
shrb	-0.151475264
CG13248	-0.151245853
CG10479	-0.151109609
CG31957	-0.151101238
kar	-0.150988603
Eaat1	-0.150912174
CG14752	-0.150904545
CG8713	-0.150879498
CR42862	-0.150800264
comt	-0.150741381
CG3887	-0.15068828
Obp56h	-0.150545855
CG17168	-0.150516498
Mkk4	-0.150436187
CG10011	-0.150426905
TfIIFalpha	-0.150176328
Fas3	-0.15002808
rut	-0.149980424
Rpt4	-0.149970588
Trissin	-0.149813362
alpha-Man-Ia	-0.149744701
dac	-0.149720005
vir	-0.149709399
snoRNA:Psi28S-2444	-0.14969778
hoe1	-0.149686414
CG13016	-0.149668407
CG12605	-0.149604337
NC2beta	-0.149556783
E(Pc)	-0.149426854
bi	-0.149423127
pnt	-0.149412375
Pal2	-0.149370814
Tomosyn	-0.149361554
CG9507	-0.149284933
CG42674	-0.149215336
NetA	-0.149174271
E(bx)	-0.149124921
Reps	-0.149089613
stac	-0.14891096
Tango11	-0.148787591
mgl	-0.148643399
Klp68D	-0.148631868
Ccz1	-0.14860039
FAM21	-0.148303229
CG15117	-0.148207265
Myo81F	-0.148206607
CR42715	-0.148197842
CG10151	-0.148171453
Lk	-0.14802204
vlc	-0.147991599
CG7781	-0.147785897
hdc	-0.147776583
CR45109	-0.147765509
4-Sep	-0.147740506
CG17712	-0.147658821
Tailor	-0.147596545
Arpc3A	-0.147517088
CG10960	-0.147503314
baf	-0.147497899
CG34229	-0.147418941
RpL4	-0.147416213
TwdlM	-0.147399121
lz	-0.1473681
aop	-0.147350666
CG12006	-0.147123852
CG15478	-0.146893143
CG18428	-0.1468749
CG12014	-0.146708471
mRpS26	-0.146619939
Papst2	-0.146514795
Oseg1	-0.146361571
CG9837	-0.14627638
RhoGAP92B	-0.146271016
CG7130	-0.146206978
CG4562	-0.146189665
CG15881	-0.1461411
Scr	-0.146134555
grh	-0.146092321
CG9919	-0.146067918
Dbp80	-0.145975376
CG2540	-0.145885841
CG5890	-0.145810984
vari	-0.145736381
gpp	-0.145690323
Gbs-76A	-0.145593124
CG32000	-0.145592202
CG9663	-0.145577052
mbt	-0.145531391
p	-0.145456902
CG32544	-0.145381559
sl	-0.145316444
CG18208	-0.145229236
Pnn	-0.145221816
His3.3B	-0.14520573
CG5466	-0.145174815
MED8	-0.145148958
CG14630	-0.145142617
dj-1beta	-0.145086484
mav	-0.144987248
Gad1	-0.14495152
CG3149	-0.144911573
MAN1	-0.144809508
CG3588	-0.14475514
CG4653	-0.144476505
lama	-0.144456914
Vps4	-0.144302478
CG5038	-0.14423633
5-HT7	-0.144099008
dare	-0.144062648
lawc	-0.144053673
simj	-0.144048176
NiPp1	-0.144029382
IntS2	-0.143984933
Fbl6	-0.143979148
Tbce	-0.143912598
CG2201	-0.14385881
CG8939	-0.143825543
CG32264	-0.143749717
CG7706	-0.143672008
Usp32	-0.143652797
pim	-0.143584262
CG10936	-0.14348853
nSyb	-0.143402712
ZnT86D	-0.143379742
CG2941	-0.143360622
Zif	-0.143217923
Nplp1	-0.143084945
CG6470	-0.142975648
fsd	-0.142804266
Fadd	-0.142690591
CG8060	-0.142681042
CR45161	-0.142626776
Not3	-0.142598519
Hug	-0.142522665
Pde9	-0.142281708
mAChR-A	-0.142247402
trol	-0.142216354
Pfrx	-0.142151493
Dscam3	-0.142122023
ST6Gal	-0.142070909
Rab3-GEF	-0.14198852
Dys	-0.141986066
CG42233	-0.141928053
LRP1	-0.141836458
CG31365	-0.141765123
Myo31DF	-0.141685357
D19B	-0.141683185
thoc7	-0.141678366
CG2889	-0.141642538
enc	-0.141617888
CG14971	-0.141602538
mtm	-0.141589836
SIFaR	-0.141580554
wmd	-0.14157138
CG33082	-0.141521808
CG8602	-0.141473034
AIMP3	-0.141467741
CG43736	-0.141438828
CG11753	-0.141418534
CG8369	-0.141407081
Slh	-0.141395584
epsilonCOP	-0.141381044
CG18012	-0.141356417
Uba3	-0.141299131
CG7785	-0.141291471
AdipoR	-0.141077621
tipE	-0.141026919
Ddc	-0.140985092
Alg-2	-0.1409523
Fen1	-0.140941559
PTP-ER	-0.140935374
fs(1)Ya	-0.140782625
CG14562	-0.140675749
eIF-2alpha	-0.140675387
CG14762	-0.140673097
CG10341	-0.140571096
CG14712	-0.14048429
Nelf-A	-0.140457563
CG32815	-0.140441374
Gint3	-0.140429205
SMC5	-0.140424081
CG10132	-0.140381664
CG9372	-0.140204232
Ipp	-0.14018103
Hrb87F	-0.14010991
tyn	-0.140087748
CG17556	-0.140066933
Rh50	-0.139907289
Top3alpha	-0.139906563
myo	-0.139841147
Lgr4	-0.139787189
CG3394	-0.139759009
CG6701	-0.139741429
Eb1	-0.139643321
CG9497	-0.139549567
CG2269	-0.139304703
CG15019	-0.139137706
CG9581	-0.139124617
Irk2	-0.139112696
ana	-0.138918155
Jupiter	-0.138858626
pst	-0.138847227
CG2186	-0.138842973
CG4829	-0.138795373
HP1c	-0.138720337
CG13532	-0.138690135
Hcf	-0.138647384
Rae1	-0.138607927
snRNP-U1-70K	-0.138587861
CG15522	-0.138552513
nemy	-0.138545444
Trn	-0.138535018
CG10333	-0.138511354
bel	-0.138471748
Cyp6t1	-0.138384874
gry	-0.138336016
Wwox	-0.138285506
sdt	-0.138032122
Pi3K59F	-0.138022512
Ns3	-0.138019013
CG45049	-0.137974095
CG34231	-0.137759704
CG10747	-0.13768332
Ref1	-0.137360479
CG17209	-0.137307183
CG32708	-0.137306715
pgant2	-0.137300303
CG10915	-0.13716912
Gapdh2	-0.136962712
D12	-0.136962606
CG13739	-0.136893804
Ef1alpha100E	-0.136859645
cbc	-0.136607399
CG12948	-0.136515421
GstD1	-0.136451989
ine	-0.136373505
CG3257	-0.136370039
AkhR	-0.136284574
CG32547	-0.13627559
CG12945	-0.1362164
AGO3	-0.136005524
CG16903	-0.136000566
CG8209	-0.135951513
Sk2	-0.135947177
Drgx	-0.135940058
Dsk	-0.135900213
mid	-0.13586091
Iml1	-0.135820205
Oatp33Ea	-0.135778062
CG13579	-0.135761458
mrj	-0.135681774
CG12926	-0.135626165
Pgk	-0.135576798
omd	-0.135537294
CR45898	-0.135520434
mod	-0.135518085
NK7.1	-0.135462988
Tap42	-0.135437051
CG40178	-0.135374062
eff	-0.135329205
Send2	-0.135281298
Rap1	-0.135277265
CG43781	-0.135181352
ash2	-0.135126967
CG4537	-0.134967233
Lerp	-0.134909446
CG14441	-0.134888261
l(2)not	-0.134831782
CG31191	-0.134766199
CG34404	-0.13475348
CG34401	-0.134686734
Taf5	-0.134680858
Rpn1	-0.134675272
Nmnat	-0.134509713
CG42488	-0.134502052
Rbfox1	-0.13444518
CG14982	-0.134441923
CG9368	-0.134312498
nonA	-0.134186555
Antp	-0.133935721
CYLD	-0.13384554
Duox	-0.133841509
CG42747	-0.1337633
beta4GalT7	-0.133699418
MYPT-75D	-0.133694846
px	-0.133679119
CG11034	-0.133665649
CG15643	-0.133658984
CG13298	-0.133627175
CG18302	-0.133459726
Tsf3	-0.133345125
CG12341	-0.133333141
Pak	-0.133326311
RIC-3	-0.133292032
wkd	-0.133279188
CG13609	-0.13323707
ktub	-0.13322122
RpL18	-0.133161439
gukh	-0.133013324
Nrt	-0.133006422
CG12730	-0.133002036
CG5510	-0.132984105
XNP	-0.132981932
gammaSnap1	-0.132933114
CG11360	-0.132907703
bgm	-0.132906788
msl-2	-0.132715306
Irbp	-0.132661098
CG43921	-0.132550921
CG10217	-0.132536508
Fife	-0.132527504
CaMKII	-0.132465972
Vps39	-0.132419569
Psn	-0.132282624
CG12263	-0.132149692
Atg10	-0.132142078
CG10903	-0.132079536
cdc14	-0.132057176
Top3beta	-0.13198487
CG6729	-0.131775083
CG2852	-0.131768712
CG14274	-0.131758926
Pax	-0.131742744
Pgant35A	-0.131727162
Notum	-0.131706279
CG14057	-0.131589759
CG15440	-0.131328056
CG14695	-0.131291687
CG6769	-0.131125719
Nrg	-0.130931994
pic	-0.130921771
AnxB10	-0.130900285
Syx4	-0.130752059
CG11138	-0.130750589
CG6805	-0.130650149
MAPk-Ak2	-0.130617984
CG3032	-0.130509081
CG7011	-0.130443121
CG6800	-0.130349689
CG32354	-0.130347135
CG5196	-0.130332715
CG11617	-0.130306278
CG16896	-0.130225658
Hmt-1	-0.130159054
CG34357	-0.129998711
CG14044	-0.129949865
bap	-0.129845442
dpr8	-0.129785315
a6	-0.129765726
CG1907	-0.129662689
Socs36E	-0.129594801
Rop	-0.12952864
Act42A	-0.129474548
Col4a1	-0.129417414
RpS15Ab	-0.129272009
CG3308	-0.12926933
Tango10	-0.129198246
CG13409	-0.129194388
lft	-0.129147761
CG4911	-0.129023082
CAH1	-0.128935701
GC	-0.128826513
CenB1A	-0.128780306
CG2202	-0.128736332
Acp54A1	-0.128685547
Slbp	-0.128630057
Gycalpha99B	-0.128601148
Sulf1	-0.128446745
CG31650	-0.128396801
subdued	-0.128347574
CG15012	-0.128138758
l(3)j2D3	-0.12804837
CG13625	-0.127960258
Evi5	-0.127915642
Lint-1	-0.127784928
Mppe	-0.127765649
CG8839	-0.1277317
Gld2	-0.127686515
Blos4	-0.127653372
Ent2	-0.127642675
LpR2	-0.127632526
tant	-0.127604832
CR44097	-0.127277242
ome	-0.127263188
CG17173	-0.127237131
CG42668	-0.127213188
RpII140	-0.127210076
CG8273	-0.127106793
wde	-0.127058452
MTF-1	-0.127040325
RtGEF	-0.12702534
CR44317	-0.127005465
CanB	-0.126980183
CG5805	-0.126609726
alpha4GT1	-0.126596476
Wee1	-0.126499494
CG12912	-0.126479477
CG10075	-0.126451415
CG3107	-0.126392237
sced	-0.126379776
pinta	-0.126364118
LSm7	-0.126361106
CG6000	-0.126348537
CG18769	-0.126312319
Sur	-0.126236012
CR43958	-0.126120415
CG42381	-0.126018021
CG42380	-0.126018021
Blos2	-0.125997962
CG5916	-0.125984147
ash1	-0.12585427
arg	-0.125808545
RpL19	-0.125778596
Gga	-0.125763707
Golgin84	-0.125548928
CG3894	-0.125429474
CG6184	-0.125406474
CG6191	-0.1253178
CG9330	-0.12526282
shtd	-0.125226742
toc	-0.125180945
CG17141	-0.125143049
robo2	-0.124913162
tamo	-0.124809148
CG3815	-0.124773319
run	-0.124700284
Syx7	-0.124636869
RhoGAP5A	-0.124631762
Sik2	-0.124623408
Sox14	-0.124623165
RluA-1	-0.124592842
Gdh	-0.124491716
CG3995	-0.124481261
CG12728	-0.124455484
Patronin	-0.124361348
Asx	-0.124317809
HLH4C	-0.124144132
CG17364	-0.123881595
CG8435	-0.123836879
CG13398	-0.123823358
CG7985	-0.123751492
CG6540	-0.123712292
CG16985	-0.123620062
CHORD	-0.123598203
CG31663	-0.123539007
CG32206	-0.123534505
CG17230	-0.123530519
CG4629	-0.123509662
mnd	-0.123482446
CG42846	-0.123438277
me31B	-0.12339184
Prosalpha2	-0.123389876
CG13708	-0.123345605
pds5	-0.123302219
CG32447	-0.123123055
COX5A	-0.123121739
Dhod	-0.123007442
Spt3	-0.122918013
elgi	-0.122915296
pyd	-0.122855171
fabp	-0.122847199
CG30389	-0.122821157
CG11110	-0.122794153
CG8490	-0.12276162
Nf-YA	-0.122729484
KLHL18	-0.122394258
CG17233	-0.122310422
Edg78E	-0.12224291
CG4174	-0.122227096
CG13380	-0.122227096
nerfin-2	-0.122211602
CG8891	-0.12220728
mAChR-B	-0.122182119
Osi12	-0.122181637
l(2)37Cd	-0.122017881
CR45943	-0.121889934
AGO2	-0.121746914
Slip1	-0.121691389
Tsc1	-0.121645652
Wdr59	-0.12158863
Daxx	-0.121312967
CG15803	-0.121043697
CG7879	-0.121027026
CG34370	-0.120973135
CG12975	-0.12095883
Scgbeta	-0.12094759
sno	-0.120928868
LBR	-0.120902996
CG16947	-0.1208864
beat-VI	-0.120884252
RhoBTB	-0.120883277
nej	-0.120870067
rngo	-0.120838727
AstA-R1	-0.120716306
CG5282	-0.120651991
Gpb5	-0.120532541
CG13293	-0.120293904
CG31810	-0.120229684
CR43426	-0.120162917
eIF4E-6	-0.12011225
LKRSDH	-0.120105998
Brms1	-0.120059365
natalisin	-0.12003646
CG14969	-0.119967928
CG7457	-0.119965529
Meltrin	-0.119710169
GMF	-0.119610842
ear	-0.119568846
Vps60	-0.119548601
CR44898	-0.119522723
CG10418	-0.119496007
CG17724	-0.119439103
CG42788	-0.119438471
CG42258	-0.119431311
CG4615	-0.119320337
CG8516	-0.119317829
CG11811	-0.119292723
CG32448	-0.119218146
Esyt2	-0.119200733
Pez	-0.119117173
CG13295	-0.119052087
CG5535	-0.119032761
CG11652	-0.118994414
CG33296	-0.118989834
CG14322	-0.118966293
HDAC6	-0.118926534
fend	-0.118904641
CG34041	-0.118891975
Unc-115a	-0.118868227
alt	-0.118740368
Sas-6	-0.118687005
CG44837	-0.118619475
kek1	-0.118591411
2mit	-0.118565264
CG10631	-0.118501569
GalT1	-0.118438116
SRm160	-0.118429051
CR45223	-0.118397387
l(3)neo38	-0.118396906
ltl	-0.118353941
CG2807	-0.118351995
Tpi	-0.118071801
CG7028	-0.118022942
CG11122	-0.118000934
RhoGAP68F	-0.117837714
SppL	-0.117793772
CG11073	-0.117718936
CDase	-0.117526276
CG6512	-0.117415991
ChAT	-0.117360676
CG31678	-0.11705292
capt	-0.11681046
HIP-R	-0.116652007
FMRFa	-0.116568347
slim	-0.116483767
CG41378	-0.116452965
CG3940	-0.116224138
Vha36-3	-0.116209486
hep	-0.116112173
CR46139	-0.115985553
Rga	-0.115875669
fws	-0.115838219
Ptx1	-0.115784014
CG6443	-0.115674725
RpL32	-0.11564231
Spn	-0.115620705
CG7102	-0.115564612
CG10366	-0.115522259
CG4788	-0.115427217
Dh44-R1	-0.115393409
alien	-0.115342537
U2af38	-0.11527163
CG33543	-0.115097198
sfl	-0.115087249
cib	-0.115055173
CG1620	-0.11502329
Spn42Da	-0.114955286
pps	-0.1149534
CG2614	-0.114837465
CG18599	-0.114837244
CR44998	-0.114824494
Axud1	-0.114786294
twit	-0.114669006
Alg10	-0.114650352
Mkp3	-0.114522551
Sgf29	-0.114499806
CG45071	-0.11449327
Try29F	-0.114436509
ctrip	-0.114434841
corn	-0.114349704
CG12772	-0.114269666
CG15537	-0.114260435
CG7997	-0.114190182
Gr28b	-0.114163156
CG8258	-0.114097482
CG1965	-0.114041445
CG7685	-0.113938551
mRpL51	-0.11391527
Nlg3	-0.113803597
CG3860	-0.113711746
CG1927	-0.113700626
pzg	-0.1136465
Obp44a	-0.113530211
Gcn2	-0.113472197
TSG101	-0.113465516
CG5439	-0.113386238
tim	-0.113250734
mgr	-0.113203786
CR44844	-0.11316219
RpL31	-0.113096087
Vav	-0.113067221
CG5525	-0.113036111
frj	-0.112940599
Pbgs	-0.112874287
Sply	-0.112825064
beat-VII	-0.112628178
Cht11	-0.112617813
RfC3	-0.112592301
CG30466	-0.11247593
zf30C	-0.112457147
eIF3ga	-0.112185873
CG42304	-0.112159576
Als2	-0.112097656
ZIPIC	-0.112067989
slow	-0.11206216
CG7016	-0.112051507
Proc-R	-0.112029908
Syngr	-0.111922028
lt	-0.111910864
CR44266	-0.111868272
roX1	-0.111848792
Myc	-0.111780516
Vta1	-0.111779304
Proc	-0.111692514
CR44474	-0.111683765
Arp1	-0.111577364
Mtor	-0.11155584
rl	-0.111531404
CG6006	-0.111317884
upSET	-0.111311211
CG1103	-0.111234065
Pex3	-0.111197783
CG10082	-0.111162308
Idgf2	-0.111145995
Pi3K92E	-0.111115678
Aef1	-0.11108011
CG12018	-0.11101812
CG31030	-0.110938331
rt	-0.110879859
mRpS17	-0.110770423
CG45782	-0.110708669
CG31710	-0.110688196
Tsp97E	-0.110674146
CG9776	-0.11063906
Optix	-0.110614191
Orct2	-0.110550692
CG2991	-0.110529394
tau	-0.110490351
CG11155	-0.110400131
CG5009	-0.110397592
gw	-0.110290087
lid	-0.11020951
IM4	-0.110199048
CG6379	-0.110174317
CG14073	-0.11017267
Nhe2	-0.110056644
g	-0.110015664
CG42855	-0.109976092
Ada2a	-0.109919031
CG17829	-0.109918272
lig	-0.109900041
CG5199	-0.109885129
CG2091	-0.109860364
uzip	-0.109772086
CG6145	-0.109770814
Dlc90F	-0.109725298
CG31808	-0.109685122
CG7183	-0.109643941
CdGAPr	-0.109500038
CG4238	-0.109445459
CG13605	-0.109404862
prominin-like	-0.109389762
beat-Ic	-0.10929815
PMP34	-0.109253352
CG9121	-0.109241785
brp	-0.109222068
CG43091	-0.109212843
Ssk	-0.109182081
CR42549	-0.109144272
CG8176	-0.109137954
CG30184	-0.109108085
Ranbp21	-0.109009933
CG6012	-0.108944286
l(3)05822	-0.108918966
RpL7A	-0.108917565
Acp63F	-0.108886982
pbl	-0.10885716
CG8027	-0.108836409
CG11883	-0.108833524
beat-Ib	-0.108819457
arm	-0.108800054
CG1688	-0.1087985
CG44422	-0.108792644
app	-0.108788739
Sara	-0.108730993
CG31800	-0.108661691
CG13003	-0.108586588
CG3184	-0.108575293
mRpL49	-0.108527598
Adar	-0.108489419
vls	-0.108488538
lok	-0.108398026
hts	-0.108390808
RhoGEF3	-0.108269532
csw	-0.108253852
CG42321	-0.108236583
Sec8	-0.108168806
ken	-0.108151726
Hr38	-0.108104332
Rat1	-0.108099224
kune	-0.107953387
Tmhs	-0.107935311
rec	-0.107905214
Spn88Ea	-0.107877697
CG12025	-0.107835169
CR43875	-0.107820872
CG10508	-0.107799479
fid	-0.107653328
CG3009	-0.107578916
GlcAT-S	-0.107576416
CG31705	-0.107480436
tho2	-0.10744544
CG8195	-0.107344933
Su(fu)	-0.107290403
Miro	-0.107269534
snoRNA:Me28S-A2564	-0.107233278
Ssrp	-0.107212546
CG2444	-0.107136873
Cyp311a1	-0.107126465
Hsp83	-0.10709748
CG14400	-0.107077089
Spn77Ba	-0.107047141
kuk	-0.10704573
eIF5B	-0.106957294
nAChRbeta2	-0.106850158
chb	-0.106748322
Dlip2	-0.106688198
CG4557	-0.106679734
CG7611	-0.106671945
Aac11	-0.106572595
CG6808	-0.106553245
unc-119	-0.1064274
Lrpprc2	-0.106419406
hang	-0.106308572
Six4	-0.106247976
CG5500	-0.106125939
CG33080	-0.106084427
Strip	-0.106068127
Rpp30	-0.105720899
Nup107	-0.105627884
CG1234	-0.10560287
Kaz1-ORFB	-0.105533644
Scgalpha	-0.105370219
CG8726	-0.105213483
RpL5	-0.105206675
cbt	-0.105054302
CG17019	-0.105033062
Prp38	-0.104994967
mst	-0.104737758
CG33695	-0.104654746
CR45305	-0.104573582
GILT1	-0.104553173
p53	-0.104548176
CR43196	-0.104512283
CR44951	-0.104463727
l(1)G0255	-0.104382932
ND-49	-0.10437541
CG3368	-0.104113272
CG14015	-0.103920268
PAPLA1	-0.103885012
Tep3	-0.103882545
Src42A	-0.103736408
nord	-0.103632191
CR44811	-0.103584203
CG11319	-0.103524091
grass	-0.10349188
SMC3	-0.103361968
kek2	-0.103344309
Pdxk	-0.103328322
CG5808	-0.103116992
CG6613	-0.103078815
pan	-0.10298423
peb	-0.1028831
kirre	-0.102776415
CG2875	-0.102749769
CG4302	-0.102530282
CG14805	-0.102505862
cry	-0.102503486
velo	-0.102421917
Rlip	-0.102412636
CG4502	-0.102346343
Rpt1	-0.102308473
her	-0.102276736
ap	-0.102149228
CG7148	-0.102097648
CG11835	-0.10198391
CG11852	-0.101979076
CG10469	-0.101952128
Ace	-0.101795529
CG4259	-0.101653481
brm	-0.101512876
CG5721	-0.101490422
Rap2l	-0.101456368
dre4	-0.101431387
ProRS-m	-0.101426689
Opa1	-0.101423575
beta3GalTII	-0.101418854
Taf13	-0.1014168
ASPP	-0.101396141
PH4alphaEFB	-0.10125773
CG7394	-0.101219634
IP3K1	-0.101213505
CG6195	-0.101208444
mod(mdg4)	-0.101201644
CG46318	-0.101155898
CG14120	-0.101076059
Grip75	-0.10099302
Int6	-0.100779111
CG11696	-0.100722548
Taf11	-0.100655974
CG3556	-0.10058314
CG11504	-0.100500534
Awh	-0.100465157
loqs	-0.10023354
GckIII	-0.100136762
scyl	-0.100056211
CG17698	-0.099941241
CR43807	-0.099893539
tacc	-0.099892617
Obp56a	-0.099890017
Ntmt	-0.09982195
CG3036	-0.099793088
CG2258	-0.099674644
pelo	-0.099657119
lox	-0.099601387
CG5626	-0.099441041
Syn	-0.099339781
CR44741	-0.099311188
CR45874	-0.099174989
Spred	-0.099120387
GATAd	-0.099049861
CG6928	-0.09899436
Etl1	-0.098978308
LpR1	-0.098952609
Lcch3	-0.098850133
rdo	-0.098825952
Eip63E	-0.098814594
cyc	-0.09881447
CR45175	-0.098772841
nAChRalpha5	-0.098591837
pall	-0.098482026
CG5168	-0.098414049
CG17508	-0.098404531
CG1951	-0.098270911
CG14270	-0.098043191
igl	-0.098036458
CG6412	-0.098023874
nsl1	-0.097934925
Rbp1	-0.097915866
alphaTub84D	-0.097790277
pre-mod(mdg4)-C	-0.097767567
pre-mod(mdg4)-E	-0.097767567
CG9467	-0.097677876
dtn	-0.097654769
CG32365	-0.097592888
Sry-delta	-0.097482617
l(3)mbt	-0.097429666
Dbp45A	-0.097421486
CkIIalpha	-0.097368037
Ip259	-0.097309627
rhea	-0.097137654
CycH	-0.097126375
CR45629	-0.097122409
Dhc64C	-0.097096398
pasi2	-0.097017819
CG42265	-0.09699403
Rpb4	-0.096990055
CG11448	-0.096954913
Ccs	-0.096856915
CG4404	-0.096843421
bin3	-0.096785111
CG2023	-0.096764714
sea	-0.096748644
Nup205	-0.096716043
Bap111	-0.096706558
CG12818	-0.096640534
l(3)72Ab	-0.096638619
CG12290	-0.096609245
sca	-0.096583895
Sin3A	-0.096449124
cpo	-0.096438183
CG3822	-0.096350593
CG12177	-0.09634145
foi	-0.096334489
EndoA	-0.096327636
Rok	-0.096297601
CG12316	-0.096262269
CG11368	-0.096205652
CG14435	-0.096205247
pum	-0.096163145
Ppcs	-0.096111645
CG9509	-0.096108914
CG17002	-0.096088498
CR44922	-0.096070046
Gat	-0.096012521
Tsf2	-0.095830119
Rab26	-0.095809598
CG13117	-0.095623395
DNApol-alpha73	-0.095598824
Cyp12b2	-0.095536061
RpL8	-0.095534448
CG45263	-0.095470976
LeuRS	-0.095466054
CG32037	-0.09546296
Shawl	-0.095434891
CG31064	-0.095385668
CG10584	-0.095354785
CG43153	-0.095313902
CG12054	-0.095271835
l(2)k01209	-0.095266739
RpII215	-0.09525971
CG7414	-0.095248431
CG13902	-0.095238716
Mlp84B	-0.095119842
CR43916	-0.095103623
Pbp95	-0.095094236
Gie	-0.095021555
Dpck	-0.094980832
CG32809	-0.094974765
zormin	-0.094960203
Rca1	-0.09494864
cathD	-0.094855042
CG12320	-0.094850436
CR45187	-0.094785611
sxc	-0.094649926
tst	-0.094644428
CG14194	-0.094604933
CG12547	-0.094465646
Naa60	-0.094437107
GlcAT-P	-0.094307861
Cog7	-0.09429427
Ars2	-0.094203948
Men-b	-0.093995137
Ravus	-0.093938012
RpS14a	-0.093884384
CG31224	-0.093873414
CG31706	-0.093873369
CG15431	-0.09385587
wun2	-0.093815089
slmb	-0.093753493
UbcE2M	-0.093736056
Trc8	-0.093571472
Pcmt	-0.093570482
CG4662	-0.093520825
CG8388	-0.093508937
cindr	-0.093486711
Arp10	-0.093420849
CG2924	-0.093354589
CG11406	-0.093300511
CG43347	-0.093262684
CG5823	-0.093236885
CG12241	-0.093109316
pll	-0.093097321
CG10979	-0.093078158
CG42711	-0.093075262
CG32982	-0.092964439
CG4050	-0.092923779
CG10265	-0.092860801
sra	-0.09260867
CG6424	-0.092387254
CG5114	-0.09238234
CG46315	-0.092358839
Mef2	-0.092350233
CG4866	-0.092286305
CG32533	-0.092282213
Sam-S	-0.092267655
Pde8	-0.09221639
CycD	-0.092202619
CR44137	-0.092149517
Pli	-0.092149133
feo	-0.092132232
CG4936	-0.092119437
dsh	-0.092073565
PSR	-0.092047249
SPARC	-0.092030938
CG6712	-0.092020439
CG16953	-0.091890502
CG1764	-0.091877267
Hsc70-5	-0.091854794
GNBP1	-0.091850907
CG12121	-0.091806233
Mad1	-0.091790569
CG1942	-0.091722874
Atg3	-0.091655049
chrb	-0.091368413
Ktl	-0.091332393
CG13377	-0.091258014
CG32850	-0.091172336
MED16	-0.091094203
CG43110	-0.090973206
CG7708	-0.090915223
lola	-0.090875551
CG4686	-0.090782019
CG9945	-0.090770844
Vps13	-0.090681742
CR45237	-0.09062158
Nckx30C	-0.090573049
CG1638	-0.090505695
MED21	-0.090442049
CG31301	-0.090428783
CG4266	-0.090402522
CG7766	-0.090207118
Ephrin	-0.090191944
CstF-50	-0.090187817
jing	-0.090181321
CG17321	-0.090178208
Abl	-0.090102433
CG17816	-0.090100565
CR45204	-0.090060913
Wnt10	-0.089988965
Appl	-0.089977636
CG33178	-0.089963257
Ilp2	-0.089869929
CG3781	-0.089789553
